section,language_type,en,ja,positions,followed
section1,word,subtle,かすかな,[9],A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.
section1,word,scent,香り,[11],A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.
section1,word,perfume,香水,[14],A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.
section1,word,remind A of B,AにBを思い出させる,[17],A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.
section1,word,ex-,前の-,[21],A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.
section1,word,smell (～),(～な)においがする,[2],Natto smells awful but tastes terrific.
section1,word,awful,ひどい,[3],Natto smells awful but tastes terrific.
section1,word,taste～,～な味がする,[5],Natto smells awful but tastes terrific.
section1,word,terrific,すばらしい,[6],Natto smells awful but tastes terrific.
section1,word,soaked,(雨などで)びしょ濡れの,[1],"I'm soaked with sweat. ""Stand back! You stink. Take a shower."""
section1,word,sweat,汗,[3],"I'm soaked with sweat. ""Stand back! You stink. Take a shower."""
section1,word,stand back,(邪魔・迷惑だから)後ろに下がる,"[5,6]","I'm soaked with sweat. ""Stand back! You stink. Take a shower."""
section1,word,stink,悪臭がする、(ひどく)臭い,[8],"I'm soaked with sweat. ""Stand back! You stink. Take a shower."""
section1,word,take a shower,シャワーを浴びる,"[10, 11, 12]","I'm soaked with sweat. ""Stand back! You stink. Take a shower."""
section2,word,be beside oneself (with～),(～で)ひどく興奮する、取り乱す,[],Bob was so beside himself that he could scarcely tell fact from fiction.
section2,word,scarcely,ほとんど(～し)ない,[],Bob was so beside himself that he could scarcely tell fact from fiction.
section2,word,tell A from B,[通例can-]AをBと区別する,[],Bob was so beside himself that he could scarcely tell fact from fiction.
section2,word,fact,事実、現実,[],Bob was so beside himself that he could scarcely tell fact from fiction.
section2,word,fiction,作り話、虚構,[],Bob was so beside himself that he could scarcely tell fact from fiction.
section2,word,novel,(長編)小説(作品),[],"His new nobel, which combines prose with his gift for poetry, is going to be published."
section2,word,combine A with[and] B,AとBを組み合わせる,[],"His new nobel, which combines prose with his gift for poetry, is going to be published."
section2,word,prose,散文,[],"His new nobel, which combines prose with his gift for poetry, is going to be published."
section2,word,gift,(天賦の)才能,[],"His new nobel, which combines prose with his gift for poetry, is going to be published."
section2,word,poetry,(文学の一分野の)詩,[],"His new nobel, which combines prose with his gift for poetry, is going to be published."
section2,word,publish,～を出版する,[],"His new nobel, which combines prose with his gift for poetry, is going to be published."
section2,word,up-to-date～,(情報などが)最新の～,[],An up-to-date edition of the encyclopedia will come out next month.
section2,word,edition,(本などの)版,[],An up-to-date edition of the encyclopedia will come out next month.
section2,word,encyclopedia,百科事典,[],An up-to-date edition of the encyclopedia will come out next month.
section2,word,come out,(新製品が)発売される、(本が)出版される,[],An up-to-date edition of the encyclopedia will come out next month.
section2,word,translate (～) (from A into B),(～を)(AからBに)翻訳する,[],Ms. Yamada translated the fascinating fairy tale into plain Japanese.
section2,word,fascinating,(人を)魅了する,[],Ms. Yamada translated the fascinating fairy tale into plain Japanese.
section2,word,fairy、fairy tale,妖精、おとぎ話,[],Ms. Yamada translated the fascinating fairy tale into plain Japanese.
section2,word,tale,話、物語,[],Ms. Yamada translated the fascinating fairy tale into plain Japanese.
section2,word,plain,平易な,[],Ms. Yamada translated the fascinating fairy tale into plain Japanese.
section2,word,following,以下の～,[],The following passage is quoted from a well-known fable.
section2,word,passage,(文章などの)一節,[],The following passage is quoted from a well-known fable.
section2,word,quote (～),(～を)引用する,[],The following passage is quoted from a well-known fable.
section2,word,well-known,有名な,[],The following passage is quoted from a well-known fable.
section2,word,fable,寓話,[],The following passage is quoted from a well-known fable.
section2,word,be familiar with,～を(よく)知っている,[],"Are you familiar with contemporary literature? ""I know next to nothing about it."""
section2,word,contemporary,現代の,[],"Are you familiar with contemporary literature? ""I know next to nothing about it."""
section2,word,literature,文学,[],"Are you familiar with contemporary literature? ""I know next to nothing about it."""
section2,word,next to ～,ほとんど～、～の隣に,[],"Are you familiar with contemporary literature? ""I know next to nothing about it."""
section2,word,at times,たまに、時々,[],"Are you familiar with contemporary literature? ""I know next to nothing about it."""
section2,word,confuse A with[and] B,AとBを混同する,[],"At times I confuse ""curve"" with ""carve."""
section2,word,curve,曲線、(道路などの)カーブ,[],"At times I confuse ""curve"" with ""carve."""
section2,word,carve,～を彫る,[],"At times I confuse ""curve"" with ""carve."""
section2,word,shy,恥ずかしがりの,[],Don't be shy. Your pronunciation is more or less correct.
section2,word,pronunciation,発音,[],Don't be shy. Your pronunciation is more or less correct.
section2,word,more or less,だいたい,[],Don't be shy. Your pronunciation is more or less correct.
section2,word,correct,正しい,[],Don't be shy. Your pronunciation is more or less correct.
section2,word,article,記事,[],This article contains tips for those who are eager to increase their vocabulary.
section2,word,contain ～,～を含んでいる,[],This article contains tips for those who are eager to increase their vocabulary.
section2,word,tip,役立つ情報,[],This article contains tips for those who are eager to increase their vocabulary.
section2,word,those who～,～という人たち,[],This article contains tips for those who are eager to increase their vocabulary.
section2,word,be eager to do,しきりに～したがっている,[],This article contains tips for those who are eager to increase their vocabulary.
section2,word,increase (～),～を増やす,[],This article contains tips for those who are eager to increase their vocabulary.
section2,word,vocabulary,語彙,[],This article contains tips for those who are eager to increase their vocabulary.
section2,word,latest,最新の,[],His latest works are on display at the city hall. They are fabulous beyond description.
section2,word,work,作品、仕事、作業,[],His latest works are on display at the city hall. They are fabulous beyond description.
section2,word,be on display,展示されている,[],His latest works are on display at the city hall. They are fabulous beyond description.
section2,word,city hall,市庁舎,[],His latest works are on display at the city hall. They are fabulous beyond description.
section2,word,fabulous,すてきな<女性的>,[],His latest works are on display at the city hall. They are fabulous beyond description.
section2,word,beyond description,【副】言葉では表せない(ほど),[],His latest works are on display at the city hall. They are fabulous beyond description.
section2,word,move over,(人が座れるように)席を詰める,[],"Could you move over a little? ""Oh, sorry. I didn't realize I was taking up so much space."""
section2,word,realize ～,～ということに気付く,[],"Could you move over a little? ""Oh, sorry. I didn't realize I was taking up so much space."""
section2,word,take up ～,(必要以上に)～(空間・時間など)を取る,[],"Could you move over a little? ""Oh, sorry. I didn't realize I was taking up so much space."""
section2,word,ugly,醜い、不格好[不細工]な,[],"What's this ugly object? ""This is a piece of abstract art!"""
section2,word,object,物体、物,[],"What's this ugly object? ""This is a piece of abstract art!"""
section2,word,a piece of ～,1つ[1個]の,[],"What's this ugly object? ""This is a piece of abstract art!"""
section2,word,abstract,抽象的な,[],"What's this ugly object? ""This is a piece of abstract art!"""
section3,word,beg (～),(～に)すがってお願いをする,[],"I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too."""
section3,word,lend A B(= lend B to A),A(人)にB(物・金)を貸す,[],"I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too."""
section3,word,buck,ドル,[],"I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too."""
section3,word,shake one's head,NOと言う、首を横に振る,[],"I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too."""
section3,word,be (flat) broke,(全然)お金がない、すっからかんだ,[],"I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too."""
section3,word,be apt to do,～しがちである,[],"I'm apt to buy things on impulse whenever something is on sale."" ""So am I."
section3,word,on impulse,衝動的に,[],"I'm apt to buy things on impulse whenever something is on sale."" ""So am I."
section3,word,on sale,バーゲン[特売]で,[],"I'm apt to buy things on impulse whenever something is on sale."" ""So am I."
section3,word,So am I.,(先行文に答えて)私もそうです[同じです],[],"I'm apt to buy things on impulse whenever something is on sale."" ""So am I."
section3,word,as it is,(文頭で、残念ながら)実際のところ,[],"As it is, ordinary people cannot afford to purchase such luxuries."
section3,word,ordinary,普通の,[],"As it is, ordinary people cannot afford to purchase such luxuries."
section3,word,can afford to do,～する余裕がある,[],"As it is, ordinary people cannot afford to purchase such luxuries."
section3,word,purchase,～を購入する,[],"As it is, ordinary people cannot afford to purchase such luxuries."
section3,word,luxury,贅沢品,[],"As it is, ordinary people cannot afford to purchase such luxuries."
section3,word,anticipate,～を予期する,[],"As we anticipated, the unemployment rate has risen three quarters in a row."
section3,word,unemployment,失業(状態),[],"As we anticipated, the unemployment rate has risen three quarters in a row."
section3,word,rate,率、割合,[],"As we anticipated, the unemployment rate has risen three quarters in a row."
section3,word,rise,(数・量などが)上がる、増える,[],"As we anticipated, the unemployment rate has risen three quarters in a row."
section3,word,quarter,四半期,[],"As we anticipated, the unemployment rate has risen three quarters in a row."
section3,word,in a row,連続で,[],"As we anticipated, the unemployment rate has risen three quarters in a row."
section3,word,cut down to～,～を減らす,[],"I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis."
section3,word,expense,出費,[],"I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis."
section3,word,from now on,これからは,[],"I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis."
section3,word,keep track of,～の動き[流れ]を常に記録する,[],"I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis."
section3,word,daily,毎日の,[],"I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis."
section3,word,on a ～ basis,～という基準[やり方]で,[],"I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis."
section3,word,in any case,とにかく、いずれにせよ,[],"In any case, the union has to compromise to a certain extent."
section3,word,union,労働組合,[],"In any case, the union has to compromise to a certain extent."
section3,word,compromise (on),(～について)妥協する,[],"In any case, the union has to compromise to a certain extent."
section3,word,certain,(特定はできないが)ある,[],"In any case, the union has to compromise to a certain extent."
section3,word,to ～ extent,～の程度,[],"In any case, the union has to compromise to a certain extent."
section3,word,competent,(要求される一定の)能力[技能]を持つ,[],"Competent mechanics are in great demand, so they earn decent wages."
section3,word,mechanic,(機械の)整備士、修理士,[],"Competent mechanics are in great demand, so they earn decent wages."
section3,word,be in demand,需要がある,[],"Competent mechanics are in great demand, so they earn decent wages."
section3,word,earn,～(金)を稼ぐ,[],"Competent mechanics are in great demand, so they earn decent wages."
section3,word,decent,かなりよい,[],"Competent mechanics are in great demand, so they earn decent wages."
section3,word,wages,(時間・日数などで計算される)賃金,[],"Competent mechanics are in great demand, so they earn decent wages."
section3,word,president,大統領,[],The president announced a concrete plan to carry out welfare reform.
section3,word,announce,～を公表[発表]する,[],The president announced a concrete plan to carry out welfare reform.
section3,word,concrete,(計画などが)具体的な,[],The president announced a concrete plan to carry out welfare reform.
section3,word,carry～out,(計画・任務など)～を実行する,[],The president announced a concrete plan to carry out welfare reform.
section3,word,welfare,福祉,[],The president announced a concrete plan to carry out welfare reform.
section3,word,reform,(制度などの)改革,[],The president announced a concrete plan to carry out welfare reform.
section3,word,policy,政策,[],His policy will no doubt lead to dismal consequences. It needs a thorough review.
section3,word,no doubt,きっと,[],His policy will no doubt lead to dismal consequences. It needs a thorough review.
section3,word,lead to,～(結果)に至る,[],His policy will no doubt lead to dismal consequences. It needs a thorough review.
section3,word,dismal,(結果・状況などが)気分を暗くさせる,[],His policy will no doubt lead to dismal consequences. It needs a thorough review.
section3,word,consequence,(当然の)結果、影響,[],His policy will no doubt lead to dismal consequences. It needs a thorough review.
section3,word,thorough,(調査などが)徹底的な,[],His policy will no doubt lead to dismal consequences. It needs a thorough review.
section3,word,review,見直し,[],His policy will no doubt lead to dismal consequences. It needs a thorough review.
section3,word,it goes without saying that ～,～は言うまでもない,[],It goes without saying that the aging of society is inevitable.
section3,word,aging,高齢化,[],It goes without saying that the aging of society is inevitable.
section3,word,inevitable,避けられない,[],It goes without saying that the aging of society is inevitable.
section3,word,take a look at ～,～をちょっと見る,[],Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
section3,word,chart,図、表,[],Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
section3,word,indicate,～(事実・長考など）を示す,[],Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
section3,word,juvenile,青少年の、少年の,[],Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
section3,word,delinquency,非行,[],Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
section3,word,be on the increase,増加している,[],Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
section3,word,alarming,(悪い事の増加が)深刻な,[],Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
section3,word,at a ～ rate,～なペース[割合]で,[],Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.
section3,word,district,地区,[],"In many business districts, there are a lot of vacant lots which have been for sale for years."
section3,word,a lot of ～/lots of ～,たくさんの(数の),[],"In many business districts, there are a lot of vacant lots which have been for sale for years."
section3,word,vacant,(家・座席などが)誰もいない,[],"In many business districts, there are a lot of vacant lots which have been for sale for years."
section3,word,lot,1区画,[],"In many business districts, there are a lot of vacant lots which have been for sale for years."
section3,word,be for sale,売り物である,[],"In many business districts, there are a lot of vacant lots which have been for sale for years."
section3,word,population,人口,[],The population density in the metropolis is gradually decreasing.
section3,word,density,密度,[],The population density in the metropolis is gradually decreasing.
section3,word,metropolis,大都市,[],The population density in the metropolis is gradually decreasing.
section3,word,gradually,徐々に,[],The population density in the metropolis is gradually decreasing.
section3,word,decrease,減少[低下]する,[],The population density in the metropolis is gradually decreasing.
section3,word,in all likelihood,ほぼ間違いなく,[],"In all likelihood, the birthrate will continue to decline steadily for years to come."
section3,word,birthrate,出生率,[],"In all likelihood, the birthrate will continue to decline steadily for years to come."
section3,word,continue to do,～し続ける,[],"In all likelihood, the birthrate will continue to decline steadily for years to come."
section3,word,decline,減少する,[],"In all likelihood, the birthrate will continue to decline steadily for years to come."
section3,word,steadily,着実に,[],"In all likelihood, the birthrate will continue to decline steadily for years to come."
section3,word,～ to come,これから来る～,[],"In all likelihood, the birthrate will continue to decline steadily for years to come."
section4,word,power,(電気・ガスなどの)エネルギー,[],The power plant supplies the remote county with electricity.
section4,word,"plant, power plant",工場、発電所,[],You are not allowed to operate this device without permission.
section4,word,supply A (with B),Aに(Bを)供給する,[],You are not allowed to operate this device without permission.
section4,word,remote,(距離などが)遠く離れた,[],You are not allowed to operate this device without permission.
section4,word,county,(米国の)郡,[],You are not allowed to operate this device without permission.
section4,word,electricity,電気,[],You are not allowed to operate this device without permission.
section4,word,allow A to do,Aに～することを許す,[],You are not allowed to operate this device without permission.
section4,word,operate,～(機械)を動かす[操作する],[],You are not allowed to operate this device without permission.
section4,word,device,装置,[],You are not allowed to operate this device without permission.
section4,word,permission,(正式な)許可,[],You are not allowed to operate this device without permission.
section4,word,in (actual) fact,実際は,[],"In fact, the inhabitants have been exposed to radiation."
section4,word,inhabitant,住民,[],"In fact, the inhabitants have been exposed to radiation."
section4,word,expose A to B,AをBにさらす,[],"In fact, the inhabitants have been exposed to radiation."
section4,word,radiation,放射能、放射線,[],"In fact, the inhabitants have been exposed to radiation."
section4,word,cannot do～too much,いくら～しすぎてもし過ぎることはない,[],One cannot emphasize too much the potential danger of nuclear energy.
section4,word,emphasize,～を強調[力説]する,[],One cannot emphasize too much the potential danger of nuclear energy.
section4,word,potential,潜在的な,[],One cannot emphasize too much the potential danger of nuclear energy.
section4,word,danger,危険、危険性,[],One cannot emphasize too much the potential danger of nuclear energy.
section4,word,nuclear,核の、原子力の,[],One cannot emphasize too much the potential danger of nuclear energy.
section4,word,energy,(石油・電気などの）エネルギー,[],One cannot emphasize too much the potential danger of nuclear energy.
section4,word,press,[the-]報道陣[機関],[],"For years the press overlooked the problem. But now, if anything, they are making too much of it."
section4,word,overlook,(不注意で)～を見落とす[見過ごす],[],"For years the press overlooked the problem. But now, if anything, they are making too much of it."
section4,word,if anything,むしろ、どちらかと言えば,[],"For years the press overlooked the problem. But now, if anything, they are making too much of it."
section4,word,make ～ of A,Aに対して～な評価[判断]をする,[],"For years the press overlooked the problem. But now, if anything, they are making too much of it."
section4,word,as well as ～,～だけではなく,[],"As well as cultivating grain, the farmer runs a grocery store."
section4,word,cultivate,～(作物)を栽培する,[],"As well as cultivating grain, the farmer runs a grocery store."
section4,word,grain,(集合的に)穀物,[],"As well as cultivating grain, the farmer runs a grocery store."
section4,word,farmer,(近代的な)農業経営者,[],"As well as cultivating grain, the farmer runs a grocery store."
section4,word,run,～を経営[運営]する,[],"As well as cultivating grain, the farmer runs a grocery store."
section4,word,grocery store,食料雑貨店,[],"As well as cultivating grain, the farmer runs a grocery store."
section4,word,research (into/on),(～に関する)研究[調査],[],The research institute was established in the late 1960s.
section4,word,institute,理系の大学、組織,[],The research institute was established in the late 1960s.
section4,word,establish,～を設立する,[],The research institute was established in the late 1960s.
section4,word,late,(the[one's])～後半の,[],The research institute was established in the late 1960s.
section4,word,1960s,1960年代,[],The research institute was established in the late 1960s.
section4,word,Why don't you do ～？,～したら？,[],Why don't you consult Starr in person? He's by far the most prominent attorney around here.
section4,word,consult ～ (about A),(Aに関して)～(専門家など)に相談する,[],Why don't you consult Starr in person? He's by far the most prominent attorney around here.
section4,word,in person,(電話や代理人を使わず)本人と直接会って,[],Why don't you consult Starr in person? He's by far the most prominent attorney around here.
section4,word,by far,(比較級・最上級を強めて)はるかに、間違いなく,[],Why don't you consult Starr in person? He's by far the most prominent attorney around here.
section4,word,prominent,(人が)傑出した、著名な,[],Why don't you consult Starr in person? He's by far the most prominent attorney around here.
section4,word,attorney,(米)弁護士,[],Why don't you consult Starr in person? He's by far the most prominent attorney around here.
section4,word,write～down,(忘れないように)～を書き留める,[],"I'll write it down just in case, because I have a bad memory."
section4,word,just in case,(文末に用いて)念のため,[],"I'll write it down just in case, because I have a bad memory."
section4,word,have a bad memory,記憶力が悪い,[],"I'll write it down just in case, because I have a bad memory."
section4,word,recommend (that) A (should) do,A(人)に～するのがいいと勧める,[],The lawyer recommended that his client take legal action against the insurance company.
section4,word,client,(弁護士・設計事務所などの)依頼人、顧客,[],The lawyer recommended that his client take legal action against the insurance company.
section4,word,legal,法的な,[],The lawyer recommended that his client take legal action against the insurance company.
section4,word,take (～) action,(～な)行動を取る,[],The lawyer recommended that his client take legal action against the insurance company.
section4,word,insurance,保険,[],The lawyer recommended that his client take legal action against the insurance company.
section5,word,be entitled to do,～する権利がある,[],They are entitled to be compensated for their injuries.
section5,word,compensate (A) for B,(A(人)の)B(損害)を保証する,[],They are entitled to be compensated for their injuries.
section5,word,injury,けが、負傷,[],They are entitled to be compensated for their injuries.
section5,word,so far,現在までに,[],"So far, no less than 200 people have died of the flu epidemic."
section5,word,no less than,～もの(多くの),[],"So far, no less than 200 people have died of the flu epidemic."
section5,word,die of[from],～（病気など)で死ぬ,[],"So far, no less than 200 people have died of the flu epidemic."
section5,word,flu,[the-]インフルエンザ,[],"So far, no less than 200 people have died of the flu epidemic."
section5,word,epidemic,(伝染病の)流行,[],"So far, no less than 200 people have died of the flu epidemic."
section5,word,effect,効果,[],The effect of those pills is intense but brief.
section5,word,pill,錠剤,[],The effect of those pills is intense but brief.
section5,word,intense,(感情・勢いなどが)激しい、強烈な,[],The effect of those pills is intense but brief.
section5,word,brief,短時間の、簡潔な,[],The effect of those pills is intense but brief.
section5,word,have a habit of doing,～する(よくない)癖がある,[],He has a habit of biting his nails. It's absolutely disgusting.
section5,word,bite,(～を)噛む,[],He has a habit of biting his nails. It's absolutely disgusting.
section5,word,nail,爪,[],He has a habit of biting his nails. It's absolutely disgusting.
section5,word,absolutely,全く,[],He has a habit of biting his nails. It's absolutely disgusting.
section5,word,disgusting,ぞっとするような,[],He has a habit of biting his nails. It's absolutely disgusting.
section5,word,grandma,おばあちゃん,[],He has a habit of biting his nails. It's absolutely disgusting.
section5,word,strain,(無理をして)～(体の一部)を痛める,[],My grandma strained her back when she bent down to hug my son.
section5,word,back,背中、腰,[],My grandma strained her back when she bent down to hug my son.
section5,word,bend down[over],腰をかがめる,[],My grandma strained her back when she bent down to hug my son.
section5,word,hug,～を(ぎゅっと)抱きしめる,[],My grandma strained her back when she bent down to hug my son.
section5,word,stiff,(筋肉などが)凝った,[],"If you have a stiff neck, try an herbal remedy."
section5,word,herbal,薬草の、漢方の,[],"If you have a stiff neck, try an herbal remedy."
section5,word,remedy,治療(法),[],"If you have a stiff neck, try an herbal remedy."
section5,word,medical,医学の,[],"If you have a stiff neck, try an herbal remedy."
section5,word,breakthrough,(科学・技術などの)飛躍的な発展,[],Medical breakthroughs have brought about great benefits for humanity as a whole.
section5,word,bring ～ about,～(変化など)をもたらす,[],Medical breakthroughs have brought about great benefits for humanity as a whole.
section5,word,benefit,(非金銭的な)利益,[],Medical breakthroughs have brought about great benefits for humanity as a whole.
section5,word,humanity,人類,[],Medical breakthroughs have brought about great benefits for humanity as a whole.
section5,word,～ as a whole,～を全体[一つ]として,[],Medical breakthroughs have brought about great benefits for humanity as a whole.
section5,word,apply A to B,A(理論など)をBに応用[適用]する,[],"We can't apply cloning techniques to cattle, let alone human beings. It's forbidden."
section5,word,clone,～のクローンを作る,[],"We can't apply cloning techniques to cattle, let alone human beings. It's forbidden."
section5,word,technique,(実用的な)技術,[],"We can't apply cloning techniques to cattle, let alone human beings. It's forbidden."
section5,word,cattle,(畜産用の)牛,[],"We can't apply cloning techniques to cattle, let alone human beings. It's forbidden."
section5,word,let alone ～,(否定文に続いて)～はなおさら(～でない),[],"We can't apply cloning techniques to cattle, let alone human beings. It's forbidden."
section5,word,human(being),(神・動物・機械に対して)人間,[],"We can't apply cloning techniques to cattle, let alone human beings. It's forbidden."
section5,word,forbid,(絶対的な圧力で)～を禁止する,[],"We can't apply cloning techniques to cattle, let alone human beings. It's forbidden."
section5,word,whale,鯨,[],Whales are classified as mammals.
section5,word,classify,～を分類する,[],Whales are classified as mammals.
section5,word,mammal,哺乳動物,[],Whales are classified as mammals.
section5,word,theory,理論、学説,[],The theory of evolution is beyond the reach of my imagination.
section5,word,evolution,進化,[],The theory of evolution is beyond the reach of my imagination.
section5,word,beyond[out of] the reach of,～の届かない範囲に,[],The theory of evolution is beyond the reach of my imagination.
section5,word,imagination,想像力,[],The theory of evolution is beyond the reach of my imagination.
section5,word,biologist,生物学者,[],The biologist is proud of his historic discovery and doesn't mind boasting about it.
section5,word,be proud of,～を誇りに思う,[],The biologist is proud of his historic discovery and doesn't mind boasting about it.
section5,word,historic,歴史的(に重要)な,[],The biologist is proud of his historic discovery and doesn't mind boasting about it.
section5,word,discovery,発見,[],The biologist is proud of his historic discovery and doesn't mind boasting about it.
section5,word,boast about[of],～を自慢げに話す,[],The biologist is proud of his historic discovery and doesn't mind boasting about it.
section5,word,ethical,倫理上の、倫理的な,[],"On ethical grounds, they are opposed to so-called gene therapy."
section5,word,on ～ grounds,～な理由から,[],"On ethical grounds, they are opposed to so-called gene therapy."
section5,word,be opposed to,～に反対である,[],"On ethical grounds, they are opposed to so-called gene therapy."
section5,word,so-called,いわゆる,[],"On ethical grounds, they are opposed to so-called gene therapy."
section5,word,gene,遺伝子,[],"On ethical grounds, they are opposed to so-called gene therapy."
section5,word,therapy,(特殊な)治療、療法,[],"On ethical grounds, they are opposed to so-called gene therapy."
section5,word,initial,最初の,[],The initial symptoms of the disease are fever and a sore throat.
section5,word,symptom,(病気の)兆候、症状,[],The initial symptoms of the disease are fever and a sore throat.
section5,word,disease,病気,[],The initial symptoms of the disease are fever and a sore throat.
section5,word,fever,(病気による)高熱,[],The initial symptoms of the disease are fever and a sore throat.
section5,word,sore,(炎症などを起こして)痛い,[],The initial symptoms of the disease are fever and a sore throat.
section5,word,throat,喉,[],The initial symptoms of the disease are fever and a sore throat.
section5,word,structure,構造,[],The structure of the brain is complex.
section5,word,brain,脳,[],The structure of the brain is complex.
section5,word,complex,(構造などが)複雑な,[],The structure of the brain is complex.
section5,word,owing to ～,～のために、～が理由で,[],"Owing to illness, some representatives were absent from the annual conference."
section5,word,illness,病気,[],"Owing to illness, some representatives were absent from the annual conference."
section5,word,representative,代表(者),[],"Owing to illness, some representatives were absent from the annual conference."
section5,word,be absent from,～を欠席する,[],"Owing to illness, some representatives were absent from the annual conference."
section5,word,annual,年に1度の,[],"Owing to illness, some representatives were absent from the annual conference."
section5,word,conference,(公式の大きな)会議,[],"Owing to illness, some representatives were absent from the annual conference."
section5,word,little by little,徐々に,[],"Little by little, my son-in-law is recovering from stomach cancer, and now he is in good spirits."
section5,word,son-in-law,娘婿,[],"Little by little, my son-in-law is recovering from stomach cancer, and now he is in good spirits."
section5,word,recover from,～(病気)から回復する,[],"Little by little, my son-in-law is recovering from stomach cancer, and now he is in good spirits."
section5,word,stomach,胃,[],"Little by little, my son-in-law is recovering from stomach cancer, and now he is in good spirits."
section5,word,cancer,癌,[],"Little by little, my son-in-law is recovering from stomach cancer, and now he is in good spirits."
section5,word,be in ～ spirits,～な気分[精神状態]である,[],"Little by little, my son-in-law is recovering from stomach cancer, and now he is in good spirits."
section5,word,fake,偽物の,[],"This is fake, isn't it?"" ""Hey, it's a genuine antique."" ""No way!"""
section5,word,genuine,(物が)本物の,[],"This is fake, isn't it?"" ""Hey, it's a genuine antique."" ""No way!"""
