section,language_type,en,ja
section3,sentence,"I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis.",出費を切り詰めないと。だから、これからは使ったお金は一日単位で記録していくつもりだ。
section3,sentence,"In any case, the union has to compromise to a certain extent.",いずれにせよ、組合側はある程度妥協しなければならない
section3,sentence,"Competent mechanics are in great demand, so they earn decent wages.",有能な整備士は引っ張りだこだから、なかなかの賃金を稼げる。
section3,sentence,The president announced a concrete plan to carry out welfare reform.,大統領は福祉改革を実行するための具体的な計画を発表した。
section3,sentence,His policy will no doubt lead to dismal consequences. It needs a thorough review.,彼の政策はきっと暗い結果を招くだろう。徹底的な見直しが必要だ。
section3,sentence,It goes without saying that the aging of society is inevitable.,社会の高齢化が避けられないことは言うまでもない。
section3,sentence,Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.,この表をご覧になってください。少年非行が深刻な割合で増加していることを示しています。
section3,sentence,"In many business districts, there are a lot of vacant lots which have been for sale for years.",多くの商業地区では、数年間売りに出されている空き地がたくさんある。
section3,sentence,The population density in the metropolis is gradually decreasing.,大都市の人口密度が徐々に低下している。
section3,sentence,"In all likelihood, the birthrate will continue to decline steadily for years to come.",ほぼ間違いなくこの先数年、出生率は減少の一途をたどるだろう。
section4,sentence,The power plant supplies the remote county with electricity.,その発電所は遠く離れた郡に電気を供給している。
section4,sentence,You are not allowed to operate this device without permission.,許可なくこの装置を操作することはできません。
section4,sentence,"In fact, the inhabitants have been exposed to radiation.",実は、住民たちは放射能にさらさせてきた。
section4,sentence,One cannot emphasize too much the potential danger of nuclear energy.,核エネルギーの潜在的な危険性は､いくら強調してもし過ぎるということはない。
section4,sentence,"For years the press overlooked the problem. But now, if anything, they are making too much of it.",過去数年間その問題を見過ごしていた報道機関が､今ではどちらかと言えばそのことを重視し過ぎている。
section4,sentence,"As well as cultivating grain, the farmer runs a grocery store.",穀物を栽培するだけでなく、その農業経営者は食料雑貨店も経営している。
section4,sentence,The research institute was established in the late 1960s.,その研究所は1960年代後半に設立された。
section4,sentence,Why don't you consult Starr in person? He's by far the most prominent attorney around here.,スターさんに直接相談したらどうですか？ この辺りでは文句なしでいちばん有名な弁護士ですよ。
section4,sentence,"I'll write it down just in case, because I have a bad memory.",念のためメモしておきます。記憶力が悪いから。
section4,sentence,The lawyer recommended that his client take legal action against the insurance company.,弁護士は依頼人に、保険会社に対して法的手段を取る事を勧めた。
section5,sentence,They are entitled to be compensated for their injuries.,彼らには、けがに対する補償を受ける権利がある。
section5,sentence,"So far, no less than 200 people have died of the flu epidemic.",インフルエンザの流行で、現在までに200人もの人が亡くなっている。
section5,sentence,The effect of those pills is intense but brief.,それらの錠剤の効果は強烈だが持続性はない。
section5,sentence,He has a habit of biting his nails. It's absolutely disgusting.,彼は爪を噛む癖がある。あれには本当にぞっとするよ。
section5,sentence,My grandma strained her back when she bent down to hug my son.,うちの息子を抱こうとしてかがんだときに、おばあちゃんは腰を痛めた。
section5,sentence,"If you have a stiff neck, try an herbal remedy.",肩が凝るなら、薬草治療を試してごらんよ。
section5,sentence,Medical breakthroughs have brought about great benefits for humanity as a whole.,医学の飛躍的発展は人類全体に多大な恩恵をもたらしてきた。
section5,sentence,"We can't apply cloning techniques to cattle, let alone human beings. It's forbidden.",クローン技術は人間にはもちろん､牛にも応用してはいけない。 絶対にしてはならないことだ。
section5,sentence,Whales are classified as mammals.,鯨は哺乳動物に分類される。
section5,sentence,The theory of evolution is beyond the reach of my imagination.,進化論は私の想像力の範囲を超えている。
section5,sentence,The biologist is proud of his historic discovery and doesn't mind boasting about it.,その生物学者は自分の歴史的発見に誇りをもっており、そのことを臆することなく口に出す。
section5,sentence,"On ethical grounds, they are opposed to so-called gene therapy.",倫理的な理由から、彼らはいわゆる遺伝子治療に反対している。
section5,sentence,The initial symptoms of the disease are fever and a sore throat.,その病気の初期症状は高熱と喉の痛みです。
section5,sentence,The structure of the brain is complex.,脳の構造は複雑だ。
section5,sentence,"Owing to illness, some representatives were absent from the annual conference.",病気のために年次会議を欠席した代表者もいた。
section5,sentence,"Little by little, my son-in-law is recovering from stomach cancer, and now he is in good spirits.",私の娘婿は徐々に胃癌を克服しつつあり、今は明るく元気だ。
section5,sentence,"This is fake, isn't it?"" ""Hey, it's a genuine antique."" ""No way!""",「これって偽物だろう？」 「何言ってるの。本物の骨蓮品よ。」 「まさか！」
section6,sentence,"Anything else? ""That's it."" ""For here or to go?"" ""To go.""",「ほかにご注文は?」「こちらでお召し上がりですか？」「持ち帰ります。」
section6,sentence,"How much is this rug? ""$100 including tax."" ""OK, I'll take it.""",「この敷物はおいくらですか?」「税込みで100ドルです」「じゃあ、これにします。」
section6,sentence,I don't think those pants look good on you. Try these on. They're really in now!,そのパンツはあなたには似合わないと思う。こっちをはいてみて。今すごく流行っているのよ。
section6,sentence,"He got out of the cab in haste, saying, ""Keep the change.""",彼は「おつりはいいです」と言って、急いでタクシーを降りた。
section6,sentence,Delivery service is available to our customers for a slight extra charge.,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。
section6,sentence,"It's on me. ""No. You treat me every time we eat out."" ""Well, okay. Let's split the check then.""",「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっていいるし。」 「うーん、わかった。じゃあ割り勘にしよう。」
section6,sentence,"While I was hanging out at the mall, I ran into Ken.",ショッピングセンターをぶらぶらしていたら、偶然ケンに会った。
section6,sentence,"I was short of cash, so I withdrew the $100 that I had deposited in my bank account last week.",現金が足りなかったので、先週口座に入れた1000ドルを引き出した。
section6,sentence,On her way home she was robbed of her purse.,彼女は帰宅途中にハンドバッグを盗まれた。
section6,sentence,"That's odd! Tell me how it happened. ""I'll explain it to you later.""",「それは変だわ。どうしてそんなことが起きたのか教えて。」 「後で説明するよ。」
section6,sentence,My parents gave me a 6 pm curfew as a punishment because I broke my promise.,私が約束を破ったので、罰として両親に門限を６時にされた。
section6,sentence,"As the proverb goes, ""The end justifies the means.""",諺にある通り、「嘘も方便 （目的が手段を正当化する）」。
section6,sentence,"Now that I've found that there's no one to turn to, I'll have to stand on my own two feet.",誰も頼れる人がいないとわかったのだから、自分の力でやっていくしかない。
section7,sentence,"The chairman cut me off, saying, ""Time to wind things up. Let's take a vote.""",議長は私の話を遮って、「話し合いはここまでにして決を採りましょう。」と言った。
section7,sentence,"We exchanged frank opinions in the meeting, but consensus is yet to be reached regarding this matter.",我々は会議で率直な意見を交わしたが、この件に関してはまだ全体の意見がまとまらない。
section7,sentence,"Do you agree or disagree with him? ""I'm on his side.""",「あなたは彼と同じ意見？ それとも違うの？」「彼のほうを支持するよ。」
section7,sentence,"Strictly speaking, his view differs somewhat from mine.",厳密に言えば、彼の見解は私のものとはいくらか異なる。
section7,sentence,Could you go over it again? I couldn't make out what you were getting at.,もう一度詳しく説明していただけませんか？ お話の意図がわかりませんでした。
section7,sentence,"No one backed me up at first, but eventually I talked everyone into going along with my plan.",僕の案を支持してくれる人は最初は誰もいなかったけれど、最後にはみんなを説得して賛同してもらうことができた。
section7,sentence,"I admire your perseverance, courage and wisdom. ""You flatter me!""",君の不屈の努力、勇気、そして知恵には感心するよ。」「お世辞でもうれしいわ！」
section7,sentence,"In making a decision, I rely not on logic but on instinct.",どうするかを決めるとき、僕は論理ではなく本能を当てにする。
section7,sentence,"He came up with an ingenious, sensible solution and immediately put it into practice.",彼は独創的かつ賢明な解決策を考え出し、直ちにそれを実行に移した。
section7,sentence,"From an objective viewpoint, the former is inferior to the latter.",客観的に見れば、前者は後者よりも劣っている。
section7,sentence,"Your idea sounds marvelous in theory, yet I don't think it will work in practice.",あなたの考えは理論上はすばらしそうだけれども、実際には機能しないと思います。
section7,sentence,"We expected him to defeat his opponent, but he failed to live up to our expectations.",私たちは彼が相手に勝つことを期待したが、彼はその期待に応えられなかった。
section7,sentence,"Ironically, despite their best endeavors, their mission resulted in complete failure.",皮肉なことだが、彼らの最善の努力にもかかわらず、任務は完全な失敗に終わった。
section7,sentence,Her genius makes up for her lack of firsthand experience.,実地経験の不足は彼女の天賦の才能で補える。
section7,sentence,She possesses a great capacity for overcoming any obstacle.,彼女にはどんな障害をも克服できるすばらしい能力がある。
section7,sentence,"Without your solid support, the deal would have fallen through. I'm grateful to you.",あなたの強固な支援がなかったら、その取引は成立しなかったでしょう。感謝しています。
section8,sentence,Bringing flammable items into the cabin is prohibited.,機内への可燃物の持ち込みは禁止されています。
section8,sentence,Our flight to Vienna was delayed on account of a minor accident.,ちょっとした事故が原因で、私たちのウィーン行きの便に遅れが出た。
section8,sentence,"The plane blew up and plunged into the ocean, killing all the people on board.",飛行機が爆発して海に墜落し、乗っていた全員が死亡した。
section8,sentence,They are working around the clock looking into the cause of the crash.,彼らは昼夜休むことなく、その墜落事故の原因を調査している。
section8,sentence,"Unfortunately, few passengers survived the catastrophe.",不幸にも、その大惨事で生き残った乗客はほとんどいなかった。
section8,sentence,The aviation expert analyzed the statistics in detail.,航空評論家が統計を詳細に分析した。
section8,sentence,"On behalf of all the staff, I'd like to express our sympathy for the victims.",全従業員を代表いたしまして、犠牲者の方々に対してお悔やみを申し上げたいと存じます。
section8,sentence,"In a sense, he is to blame for the disaster.",ある意味、その惨事の責任は彼にある。
section8,sentence,The vehicles are inspected for defects every three months.,車両は欠陥がないか3ケ月に1度検査される。
section9,sentence,I was amazed to see that our utility bills came to so much,うちの光熱費がそんな額になっているのを知ってびっくりした。
section9,sentence,Turn the faucet off! mom yelled in a rage.,｢水道の栓を閉めなさい！｣とお母さんがかんかんになって叫んだ。
section9,sentence,Tighten the lid so the food doesn't go bad.,食べ物が腐らない様にふたをしっかり閉めなさい。
section9,sentence,"Can I borrow your scissors? ""Sure, here you are.""",｢ハサミを貸してもらえる？」「もちろん。はいどうぞ｡」
section9,sentence,You can substitute some transparent glue for a needle and thread.,針と糸の代わりに透明な接着剤を使っても結構です｡
section9,sentence,I dyed this fabric and it shrank,この織物を染めたら縮んでしまった。
section9,sentence,I'm getting rid of this leather jacket because it's worn out at the elbows.,この革のジャケットは処分するよ。両肘の部分がすり減って穴があいているから。
section9,sentence,Add some flour to the mixture and stir it until it becomes thick.,その混ぜ合わせたものに小麦粉を加えて、とろみがつくまでかき混ぜましょう。
section9,sentence,"What should we do with the leftovers? ""Keep them in the fridge for now. I'll heat them in the microwave later.""",「残り物をどうしよう？」 「とりあえず冷蔵庫に入れておいて。 後で電子レンジで温め直すよ。」
section9,sentence,"I could have laid out all that money on a new PC, but on second thought I decided to put some aside for a rainy day.",新しいパソコンに全額つぎ込むこともできたが、考え直して、まさかの時のために多少は残しておくことにした。
section9,sentence,"A cell phone has become something of a necessity, and I can't do without one.",携帯電話はちょっとした必需品になったことだし、それなしではやっていけない。
section9,sentence,No sooner had I sat back and relaxed than my wife asked me to do the chores.,イスにゆったり座ってくつろいだ途端、妻に雑用を頼まれた。
section9,sentence,She laid the baby down and lay down beside him.,彼女は赤ちゃんを寝かせて自分も隣に横になった。
section10,sentence,Put this stuff away! It's in the way.,ここにある物を片付けなさい。邪魔よ。
section10,sentence,"When the kids made believe they were dinosaurs, they were scolded by their mother.",子供たちが恐竜ごっこをしていたら、お母さんに叱られた。
section10,sentence,"After he bumped into the shelf, the priceless china fell and shattered into fragments.",彼が棚にぶつかり、とても高価な陶磁器が落ちて粉々に割れてしまった。
section10,sentence,"Can you keep an eye on my kids for a while? I need to pick up Ken. No problem.""",「うちの子たちをちょっと見ててもらえる？ケンを迎えに行かないといけないの｡」「いいよ｡」
section10,sentence,Our neighbor told us off for making a mess in his yard.,隣の家の人が庭をめちゃくちゃにされたと、私たちにがみがみ説教した。
section10,sentence,Dolly resembles her big sister in every way. You can't tell them apart.,ドリーはあらゆる面でお姉さんにそっくりだ。二人を見分けることはできないよ。
section10,sentence,"As a rule, twins have a lot in common.",慨して、双子には似たところが多い。
section10,sentence,"I'm tired of doing the dishes, doing the laundry, and so on!",皿洗いとか洗濯とか、そういうことにはもううんざり！
section10,sentence,My favorite pastime is strolling along the shore. It's pleasant.,時間があいたときの一番の楽しみは浜辺の散歩です。気持ちいいですよ。
section10,sentence,"I'm exhausted! Let's take a break in the shade. ""Why not?""",「私、もうくたくた。日陰で休憩しましょう｡」「そうだね｡」
section10,sentence,"Bob, this vending machine is out of order. ""Oh no! I'm dying of thirst!""",「ボブ、この自動販売機、故障してるわ｡」「何だって！喉が乾いて死にそうだよ！」
section10,sentence,"He fainted with hunger and fatigue, but came to after a while.",彼は空腹と疲労で気を失ったが、しばらくして意識を取り戻した。
